%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1637019938551639497,13255,1637019938551105261,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019938649436613,13256,1637019938649285018,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019938749433144,13257,1637019938749283466,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019938849772241,13258,1637019938849305593,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019938949472761,13259,1637019938949313617,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019939049433253,13260,1637019939049283694,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019939149971288,13261,1637019939149324181,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019939249434232,13262,1637019939249287425,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019939349451293,13263,1637019939349279681,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637019939449876506,13264,1637019939449299821,smart2_02/odom,smart2_02/base_footprint,2.04719519615,-0.33087682724,0.0,0.0,0.0,-0.130524600274,0.991445070956,167.694778442,23.3284435272,0.0,0.0,0.0,62.2346229553,23.3282985687,580.859558105,0.0,0.0,0.0,454.227050781,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,62.2346229553,454.227050781,0.0,0.0,0.0,533.52911377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
