%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1637022417344599925,1,1637022417288844336,usb_cam,575,0,-1.15715621849,-0.198352594246,2.44341136445,0.999279804177,0.0296906019034,-0.0236255012937,-0.000420488951117,0.00107302902325,0.000190773530842,4049.60240177
1637022417413935772,2,1637022417382683250,usb_cam,576,0,-1.15642824168,-0.197885253392,2.44179970896,0.999226223806,0.0296339936693,-0.0258554096883,-0.000527130576196,0.00156042406161,0.000277399437121,4045.30659891
1637022417623631695,3,1637022417484313654,usb_cam,577,0,-1.15711901371,-0.197977285131,2.44330243894,-0.999298272471,-0.0292902390217,0.0233312790244,-0.000834237833347,0.000700632110238,0.000124637385549,4050.55495225
1637022417660749579,4,1637022417599690663,usb_cam,578,0,-1.15675655183,-0.198124339399,2.44242833816,0.999275617736,0.0290360397925,-0.0245723614322,0.0011607086071,0.00164889504958,0.000293357306213,4047.87016653
1637022417714080230,5,1637022417682633831,usb_cam,579,0,-1.15794603243,-0.198359125903,2.44518012663,0.999299211467,0.0293393952961,-0.0232357853473,0.000619778309515,0.000775683685788,0.000138165734989,4044.86400409
1637022417846090532,6,1637022417783738602,usb_cam,580,0,-1.15793116227,-0.197957641932,2.44507553301,-0.999336045333,-0.0285673788723,0.0224898407042,-0.00236229286507,0.000672477952321,0.000119857632135,4047.43472972
1637022417965096480,7,1637022417884692040,usb_cam,581,0,-1.15706101256,-0.198126670138,2.44304295924,0.999244055359,0.0291845847445,-0.0256817827863,0.000154521311055,0.0032115411741,0.00057165188558,4041.56817148
1637022418052367801,8,1637022417985294616,usb_cam,582,0,-1.15699764143,-0.197863431218,2.44315957962,-0.999294795599,-0.0289821589597,0.0238271645312,-0.00148734014859,0.00231385329971,0.000411855157256,4048.51384351
1637022418118883887,9,1637022418082841403,usb_cam,583,0,-1.1583344911,-0.198271894857,2.44585608138,-0.999288901279,-0.0295191453216,0.0234479363402,-0.000711421589212,0.000545666029211,9.72717520762e-05,4041.65536556
1637022418257133105,10,1637022418184352469,usb_cam,584,0,-1.15590572861,-0.197890628947,2.44056648504,0.999251431636,0.0288193649033,-0.025762194773,0.0015264008206,0.00032205064781,5.72650261413e-05,4048.63773876
1637022418348314836,11,1637022418285129057,usb_cam,585,0,-1.15722869204,-0.19800215333,2.44372469089,-0.999321588348,-0.0283255142507,0.0234036948185,-0.00250905800998,0.00395809726615,0.000705145784907,4047.87214237
1637022418417647185,12,1637022418382876373,usb_cam,586,0,-1.15634825926,-0.198100489097,2.44155486263,0.999241814885,0.0294258501151,-0.0254930227258,0.000143253977483,0.00149077521928,0.000265015004965,4047.31903043
1637022418597547303,13,1637022418484386531,usb_cam,587,0,-1.1582830315,-0.198373454469,2.44576736712,0.999303519147,0.0298139093218,-0.0223939290129,0.0014558073033,0.000587359550991,0.000104674488227,4046.06847696
1637022418654609109,14,1637022418588871738,usb_cam,588,0,-1.15634649413,-0.197727545023,2.44167998363,-0.999279592669,-0.0289149436287,0.0245543577222,-0.00114246578447,0.000162986238138,2.89810371455e-05,4050.45633728
1637022418715082520,15,1637022418682676358,usb_cam,589,0,-1.15765857604,-0.198070264534,2.44454495897,-0.999337615717,-0.0286862947335,0.0223566661573,-0.00126719601599,0.00288191549771,0.000513075102746,4050.40356637
1637022418886338228,16,1637022418783664128,usb_cam,590,0,-1.15693862226,-0.1979234717,2.4428886829,-0.999286764085,-0.0289995993199,0.0241271870693,-0.00169269271901,0.00121734297136,0.000216701127031,4047.980909
1637022418970672384,17,1637022418888536419,usb_cam,591,0,-1.1578082696,-0.198125338157,2.44470999096,0.999299659266,0.0293167414101,-0.023237676705,0.000854426920405,0.00020938180387,3.7288350456e-05,4046.27882442
1637022419025389248,18,1637022418983130799,usb_cam,592,0,-1.15619111237,-0.197775375638,2.44138949778,0.99925964125,0.0296109586396,-0.0245512523756,0.000772336907953,0.000365852334653,6.50205762332e-05,4051.638592
1637022419174361517,19,1637022419083884484,usb_cam,593,0,-1.1573568491,-0.198106786979,2.44368760971,0.999284533168,0.0289542624788,-0.0243107848495,0.00102868643632,9.09811642487e-05,1.62006670811e-05,4044.91421794
1637022419242864360,20,1637022419187122516,usb_cam,594,0,-1.15782808106,-0.19818398208,2.44482059249,0.999279932249,0.0298109115977,-0.023458145072,0.000801239214469,0.00132649258012,0.000236254633674,4044.98844425
1637022419314256633,21,1637022419282616386,usb_cam,595,0,-1.15747888355,-0.198078332722,2.44413995939,0.999280045655,0.0291519551953,-0.024224468057,0.00165197209228,0.00147551725968,0.000262917378207,4043.44073528
1637022419526105134,22,1637022419384599654,usb_cam,596,0,-1.15782274299,-0.197985143228,2.44484030526,-0.999280886327,-0.0292379284606,0.0241402210594,-0.00032169670318,0.000946096100961,0.000168544565298,4042.25171248
1637022419562084000,23,1637022419499777553,usb_cam,597,0,-1.15493538358,-0.197838670168,2.4386861423,0.999228486469,0.0288796224067,-0.0265788988427,0.00140049077603,0.00330557997222,0.000587091871546,4051.3780135
1637022419614467510,24,1637022419582478049,usb_cam,598,0,-1.15634542319,-0.197897312433,2.44157719115,0.999245590808,0.0296601242334,-0.0250700791291,-0.000131963365058,0.00100883877894,0.000179269632416,4049.25413329
