%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1637022417372562617,307,1637022417372387129,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417472605589,308,1637022417472391621,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417573858850,309,1637022417572443210,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417672535238,310,1637022417672390822,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417772562422,311,1637022417772389478,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417872661922,312,1637022417872400288,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022417972654507,313,1637022417972402696,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418072585976,314,1637022418072393510,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418172571716,315,1637022418172394111,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637022418272694981,316,1637022418272401575,smart2_02/odom,smart2_02/base_footprint,-0.0019709893968,-0.000356066331733,0.0,0.0,0.0,-0.017452400715,0.999847695256,0.0303306598216,0.00296496786177,0.0,0.0,0.0,-0.00350175146013,0.00296496762894,0.000441093696281,0.0,0.0,0.0,-0.00250192824751,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,-0.00350175215863,-0.00250192824751,0.0,0.0,0.0,1.84899699688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,1.79769313486e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
