%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1636841683976263731,1,1636841683918685695,usb_cam,395,3,0.460787979414,0.0691322176566,2.42070044787,-0.999870202511,0.010641183831,0.0108937642774,0.00526015568359,0.0173777847085,0.00274739049903,4200.04092991
1636841684075275634,2,1636841684018736998,usb_cam,396,3,0.460389481061,0.0693731905818,2.41897740779,-0.999877469111,0.0102675829217,0.0112909334897,0.00348400997062,0.00763618340716,0.0012052137877,4207.18642505
1636841684176577760,3,1636841684118755593,usb_cam,397,3,0.459908220172,0.0692183469909,2.41647001458,-0.999891545531,0.01021974294,0.00495669134824,0.00937471282362,0.00791340461001,0.00124970881229,4204.52851952
1636841684276453591,4,1636841684218658233,usb_cam,398,3,0.460457003616,0.0692495322122,2.41984815098,-0.999870252112,0.0107012292774,0.0102607191146,0.00629922828156,0.00888198474422,0.00140403519406,4201.74996194
1636841684376639502,5,1636841684318644473,usb_cam,399,3,0.460151171741,0.0690959205149,2.41777102742,-0.999856723513,0.0110287918688,0.0103320953917,0.00762535252001,0.0144765893929,0.00228535128272,4208.56675609
1636841684488531786,6,1636841684419517556,usb_cam,400,3,0.45941426576,0.0691246997833,2.41465409989,-0.99991826225,0.0103245458139,0.00313865559328,0.00685721613544,0.00332931661978,0.000524951646534,4209.07506313
1636841684587885655,7,1636841684519413186,usb_cam,401,3,0.460404064781,0.0692806019909,2.41972057791,-0.999880194049,0.00959929767827,0.0116820162727,0.00331383902324,0.00466674589552,0.000736926556757,4205.21346032
1636841684693359659,8,1636841684619408024,usb_cam,402,3,0.460159803642,0.0691116049365,2.41891166998,-0.999800697128,0.0109682361096,0.0146926003915,0.0078988171886,0.00452419905923,0.000714136177893,4210.53441439
1636841684787051276,9,1636841684719532490,usb_cam,403,3,0.459445662882,0.0690477139644,2.41469472625,-0.999929758209,0.00963142922925,0.00536706548911,0.00434842801154,0.00290724192746,0.000457959370182,4213.22138204
1636841684862950686,10,1636841684817820207,usb_cam,404,3,0.460267247628,0.0693735627422,2.41905656615,-0.999915604955,0.00948968686694,0.00886530638634,-0.000367630993464,0.000362188089639,5.71709644634e-05,4204.56193532
1636841684978457303,11,1636841684918521636,usb_cam,405,3,0.460234945783,0.0692418908038,2.41840520649,-0.999910412504,0.0101309429504,0.008276313368,0.00283436038288,0.00478544668294,0.000755489394915,4205.07284001
1636841685080693543,12,1636841685018905413,usb_cam,406,3,0.460238802795,0.0691304801869,2.41878955745,-0.999808417639,0.0110374230167,0.00974484044218,0.0128973406387,0.0059180399403,0.000936211601409,4201.93533471
1636841685179745810,13,1636841685118857380,usb_cam,407,3,0.459415842571,0.0691307039879,2.41433830692,-0.999913088754,0.0105590393509,0.00306393476393,0.00727557077414,0.00452780886553,0.000713783463647,4209.8956419
1636841685279249767,14,1636841685218823047,usb_cam,408,3,0.460748095205,0.0691007686085,2.42064256735,0.999727617249,-0.0120346477218,-0.019135205726,-0.00580538254424,0.0281636645086,0.00444850225798,4211.06557732
1636841685379964867,15,1636841685318826201,usb_cam,409,3,0.460552202736,0.0691621437656,2.42004013802,-0.999814803544,0.0111375866246,0.0135413702668,0.00793372984744,0.0148203095887,0.00234220181187,4205.02207299
1636841685477783407,16,1636841685418908146,usb_cam,410,3,0.460123622038,0.0693994711423,2.41840499394,-0.999895054938,0.00979275352742,0.00957440690071,0.00472353899552,0.00773941865191,0.00122155046984,4206.35346557
1636841685592101556,17,1636841685519489999,usb_cam,411,3,0.46017556294,0.0693246799914,2.41839552416,-0.999914601181,0.0101269258419,0.00520033920205,0.00641811425623,0.00125663960353,0.000198669839791,4199.3644948
1636841685691389573,18,1636841685619669714,usb_cam,412,3,0.460442520958,0.0692171270245,2.41983082217,-0.999826045138,0.0110607845418,0.0101585970432,0.01106080539,0.00583153916523,0.000922902449873,4199.747511
1636841685765257394,19,1636841685718079902,usb_cam,413,3,0.460345410449,0.0691853538461,2.41881902427,-0.999887485037,0.0105907998291,0.0077345586164,0.00728208956654,0.0121343708597,0.00191798471288,4201.31597286
1636841685899444501,20,1636841685819144644,usb_cam,414,3,0.459990139375,0.0692654461358,2.4176992486,-0.999924499738,0.0100570486866,0.00664123478281,0.00239678882932,0.000849065836519,0.000133997650914,4205.26937369
1636841685979373147,21,1636841685920314209,usb_cam,415,3,0.460467346215,0.0688988326338,2.42062026175,0.999878895422,-0.0106747697008,-0.0107576115428,-0.00353801869047,0.00123168854043,0.000194788094148,4200.71408505
1636841686051061813,22,1636841686017175247,usb_cam,416,3,0.460613956276,0.0689549936512,2.41980401901,-0.999891429045,0.0110533338803,0.00822413568043,0.005226617026,0.00642676325515,0.00101622802028,4199.34214556
1636841686235189153,23,1636841686118727057,usb_cam,417,3,0.460266669708,0.0692401413767,2.41911994262,-0.999892362236,0.00964309859725,0.010645730376,0.00299048756512,0.00295283342712,0.000466198224711,4205.94642157
1636841686302738749,24,1636841686228681005,usb_cam,418,3,0.460273236402,0.0691443931496,2.41939084966,-0.999839541115,0.0111528132611,0.011018137846,0.00866645364123,0.00788774783723,0.00124668883392,4203.50194403
1636841686366816347,25,1636841686318085875,usb_cam,419,3,0.45955294894,0.0690127729583,2.41500308157,-0.999905214138,0.0110639409917,0.00288860837404,0.00766863035169,0.00121482415125,0.00019168193142,4207.15241485
1636841686503211501,26,1636841686419200171,usb_cam,420,3,0.460562009853,0.0693311350086,2.42036014626,-0.999857160376,0.0100730271085,0.0129226895864,0.00414693430644,0.0139858662151,0.00220876278638,4204.43555333
1636841686588976542,27,1636841686521900450,usb_cam,421,3,0.460146319768,0.0692909868482,2.4179136643,-0.999882591897,0.00969859036015,0.0112343869046,0.00381160297203,0.000652505783364,0.000102927877413,4210.71650644
1636841686650087428,28,1636841686617279576,usb_cam,422,3,0.460041203407,0.0692637414289,2.41729232348,-0.999922992495,0.00889271610316,0.00861614777571,-0.000831070753364,0.00119435507804,0.000188218392894,4210.44677628
1636841686788889934,29,1636841686718346877,usb_cam,423,3,0.460019045419,0.0691809481952,2.41789492338,-0.999938557935,0.00961405896618,0.00458960644571,0.00306361505115,0.00091298785992,0.00014421361824,4201.31276212
1636841686895459452,30,1636841686819664006,usb_cam,424,3,0.460342619677,0.0692752694081,2.41928395217,-0.999872872171,0.0100530605584,0.0118300766511,0.00363658583013,0.00706402724609,0.00111510860459,4206.8302553
1636841686994326226,31,1636841686919774961,usb_cam,425,3,0.459827616877,0.0692028157606,2.41679466784,0.999930251315,-0.00981529526258,-0.00644753700772,-0.00125767662297,0.000596975442022,9.41450641845e-05,4208.45793524
1636841687087106424,32,1636841687019755847,usb_cam,426,3,0.460635911999,0.069182713025,2.42051265207,-0.999888001939,0.0105184517614,0.00799065474089,0.00703528171284,0.0127603178844,0.00201954238712,4195.90734693
1636841687157436788,33,1636841687117738482,usb_cam,427,3,0.460009898522,0.0691160406906,2.41750193306,-0.999920877403,0.0097657430188,0.00786573774475,0.000999682961707,0.000510471407324,8.05133229662e-05,4208.15111596
1636841687306368016,34,1636841687218585965,usb_cam,428,3,0.460455553385,0.069425393228,2.41960392137,-0.999905714892,0.00947125374839,0.00893317148462,0.00436521771485,0.00391616323031,0.000618870620999,4201.38358782
1636841687408175908,35,1636841687321148449,usb_cam,429,3,0.459778716812,0.0689822814637,2.41624451372,-0.999844634149,0.0113704207874,0.00760209939123,0.0111188659167,0.00487388717011,0.00076963917922,4208.49461491
1636841687451000681,36,1636841687417137454,usb_cam,430,3,0.460447407736,0.0690658009823,2.41942161165,-0.999860188298,0.0113724391496,0.00898090812397,0.0083435468104,0.00490670604631,0.000776168637911,4200.61433875
1636841687588582106,37,1636841687518450695,usb_cam,431,3,0.459753215809,0.0692713387315,2.4157108723,-0.999938940568,0.00912380400059,0.00622112216661,0.00041106553485,0.00879121269099,0.00138417300465,4212.11834405
1636841687699928360,38,1636841687619916192,usb_cam,432,3,0.459780332299,0.0690352336698,2.41620028684,-0.999891845731,0.0101767484057,0.0079096709937,0.00708291876871,0.00303323706612,0.000478380280812,4210.77302672
1636841687799460574,39,1636841687720125756,usb_cam,433,3,0.46017086767,0.0690347377301,2.41851549393,-0.999871264217,0.0103474226964,0.00982504083023,0.00733855641822,0.00119222025387,0.000188346600846,4205.38555357
